item_id,title,city,price,amenities
1,3BHK Apartment in Mumbai,Mumbai,37931,"Power Backup, Swimming Pool, Garden"
2,Luxury Villa in Hyderabad,Hyderabad,42508,"Power Backup, Parking, Lift, Swimming Pool, Gym"
3,3BHK Apartment in Mumbai,Mumbai,33065,"Power Backup, Play Area, Swimming Pool, Garden, Lift, Parking"
4,Penthouse in Pune,Pune,38004,"Gym, Swimming Pool, Play Area, Lift, Parking, Garden"
5,Studio Apartment in Pune,Pune,41163,"Lift, Parking, Power Backup, Play Area, Gym, Garden"
6,2BHK Apartment in Kolkata,Kolkata,43152,"Garden, Swimming Pool, Security"
7,2BHK Apartment in Pune,Pune,49112,"Parking, Power Backup, Lift, Play Area"
8,Studio Apartment in Mumbai,Mumbai,13196,"Security, Play Area, Lift, Garden"
9,2BHK Apartment in Pune,Pune,46320,"Security, Power Backup, Play Area"
10,Luxury Villa in Jaipur,Jaipur,32557,"Play Area, Lift, Parking"
11,Luxury Villa in Delhi,Delhi,28551,"Swimming Pool, Play Area, Garden"
12,2BHK Apartment in Kolkata,Kolkata,34467,"Swimming Pool, Gym, Garden, Security"
13,Luxury Villa in Mumbai,Mumbai,29262,"Play Area, Parking, Garden, Security"
14,Penthouse in Coimbatore,Coimbatore,30166,"Parking, Gym, Lift, Swimming Pool, Security, Garden"
15,Luxury Villa in Ahmedabad,Ahmedabad,45848,"Lift, Power Backup, Gym"
16,Penthouse in Ahmedabad,Ahmedabad,26036,"Power Backup, Garden, Swimming Pool, Security, Play Area"
17,1BHK Apartment in Delhi,Delhi,10648,"Gym, Swimming Pool, Garden, Security, Power Backup, Lift"
18,Penthouse in Bengaluru,Bengaluru,27535,"Play Area, Parking, Power Backup, Gym, Security, Swimming Pool"
19,Luxury Villa in Hyderabad,Hyderabad,29398,"Garden, Power Backup, Gym"
20,1BHK Apartment in Bengaluru,Bengaluru,27579,"Gym, Play Area, Garden"
21,1BHK Apartment in Jaipur,Jaipur,20726,"Parking, Power Backup, Gym, Security, Garden, Play Area"
22,Penthouse in Mumbai,Mumbai,20138,"Swimming Pool, Parking, Play Area, Gym, Security, Garden"
23,Luxury Villa in Bengaluru,Bengaluru,7147,"Security, Power Backup, Lift"
24,Penthouse in Delhi,Delhi,10703,"Play Area, Power Backup, Garden, Parking, Gym"
25,Studio Apartment in Jaipur,Jaipur,29187,"Lift, Gym, Power Backup, Garden"
26,Luxury Villa in Kolkata,Kolkata,48465,"Power Backup, Parking, Gym, Lift"
27,1BHK Apartment in Pune,Pune,47870,"Garden, Security, Lift, Gym, Power Backup, Play Area"
28,1BHK Apartment in Chennai,Chennai,37459,"Parking, Gym, Security, Garden, Lift"
29,3BHK Apartment in Kolkata,Kolkata,12979,"Security, Gym, Garden, Parking, Swimming Pool, Power Backup"
30,3BHK Apartment in Mumbai,Mumbai,47842,"Gym, Security, Lift, Swimming Pool"
31,Studio Apartment in Delhi,Delhi,16772,"Garden, Gym, Power Backup, Security, Swimming Pool"
32,3BHK Apartment in Delhi,Delhi,23341,"Garden, Gym, Play Area, Security"
33,1BHK Apartment in Delhi,Delhi,46306,"Garden, Play Area, Parking, Gym, Lift, Swimming Pool"
34,1BHK Apartment in Jaipur,Jaipur,29331,"Power Backup, Parking, Swimming Pool, Security"
35,Penthouse in Mumbai,Mumbai,40524,"Swimming Pool, Security, Lift, Play Area"
36,Luxury Villa in Bengaluru,Bengaluru,17199,"Security, Swimming Pool, Play Area, Lift, Parking, Gym"
37,3BHK Apartment in Pune,Pune,41056,"Swimming Pool, Power Backup, Parking, Gym, Play Area, Garden"
38,Studio Apartment in Kolkata,Kolkata,42121,"Garden, Parking, Swimming Pool, Play Area"
39,Studio Apartment in Pune,Pune,30001,"Power Backup, Gym, Parking, Security, Garden"
40,1BHK Apartment in Coimbatore,Coimbatore,13967,"Parking, Garden, Security, Play Area, Power Backup, Gym"
41,Penthouse in Coimbatore,Coimbatore,6414,"Parking, Play Area, Security"
42,Luxury Villa in Jaipur,Jaipur,49765,"Power Backup, Lift, Swimming Pool"
43,1BHK Apartment in Pune,Pune,12590,"Gym, Parking, Security, Garden, Power Backup, Play Area"
44,Luxury Villa in Mumbai,Mumbai,39968,"Security, Swimming Pool, Gym, Garden"
45,3BHK Apartment in Coimbatore,Coimbatore,14820,"Play Area, Power Backup, Lift, Parking"
46,Studio Apartment in Coimbatore,Coimbatore,15619,"Lift, Parking, Security, Play Area"
47,2BHK Apartment in Bengaluru,Bengaluru,41802,"Power Backup, Play Area, Swimming Pool, Parking, Gym"
48,3BHK Apartment in Chennai,Chennai,35045,"Parking, Garden, Power Backup, Lift, Gym"
49,Luxury Villa in Chennai,Chennai,44391,"Security, Lift, Garden, Parking, Play Area, Power Backup"
50,3BHK Apartment in Pune,Pune,37164,"Parking, Security, Garden"
51,1BHK Apartment in Chennai,Chennai,28110,"Security, Lift, Swimming Pool"
52,Studio Apartment in Delhi,Delhi,42647,"Garden, Power Backup, Lift"
53,1BHK Apartment in Jaipur,Jaipur,41270,"Gym, Security, Swimming Pool, Parking, Garden"
54,Studio Apartment in Mumbai,Mumbai,9814,"Swimming Pool, Lift, Garden, Gym"
